,11,10,13:12:1:3:2:4:7:6:9:8,5
Signature.1,0.0,0.0486422650282,0.0,0.0862746416969
Signature.2,0.0351968692952,0.0,0.0316287015842,0.1934495503
Signature.3,0.024141430404,0.0,0.104409626245,0.0769932306236
Signature.4,0.070865850029,0.0567364352122,0.0,0.0837688329661
Signature.5,0.0,0.0,0.0,0.0293181916959
Signature.6,0.0,0.0,0.0,0.0494846819834
Signature.7,0.145424267213,0.0721650169571,0.0252339613977,0.0
Signature.8,0.0,0.0,0.0545313419933,0.0
Signature.9,0.0350135995107,0.0,0.158884128777,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0652420837155,0.0508828319767,0.0,0.0
Signature.12,0.0,0.0,0.0155506923279,0.0
Signature.13,0.0,0.0,0.1180766926,0.0157268762461
Signature.14,0.0131117726755,0.0578288304556,0.0,0.112412453783
Signature.15,0.0,0.0123577213884,0.0,0.0216625386994
Signature.16,0.200767123828,0.0200532856429,0.0,0.012322140462
Signature.17,0.0,0.0155639517039,0.030111696566,0.116229030481
Signature.18,0.0,0.0,0.0,0.0110496659606
Signature.19,0.0823956050203,0.0,0.0571964545084,0.0376408643543
Signature.20,0.0,0.0,0.0169619381523,0.0
Signature.21,0.0583899618817,0.386400589768,0.0,0.0200083402443
Signature.22,0.0856362562142,0.0,0.0696632349467,0.0
Signature.23,0.0,0.0,0.0,0.0206122333819
Signature.24,0.16010613445,0.0,0.0421220708475,0.0
Signature.25,0.0,0.0181260236176,0.168389969723,0.0
Signature.26,0.0,0.15715351532,0.079935438101,0.0
Signature.27,0.0,0.0903748998997,0.0,0.0
Signature.28,0.0237090457626,0.0137146330295,0.0115346437953,0.018991841416
Signature.29,0.0,0.0,0.0157694084339,0.0940548857052
Signature.30,0.0,0.0,0.0,0.0
