,11:13:12:1:3:2:5:7:6,9:10:8,4
Signature.1,0.0220313749242,0.0900526944172,0.0
Signature.2,0.0,0.0146586347329,0.0
Signature.3,0.0,0.107257228932,0.127804181265
Signature.4,0.0,0.0,0.0
Signature.5,0.0256708276568,0.0,0.0
Signature.6,0.0,0.0149991178862,0.0280997212006
Signature.7,0.0694725434161,0.0,0.0
Signature.8,0.0431764291147,0.0,0.0746193927389
Signature.9,0.0456710560653,0.0,0.051475350092
Signature.10,0.0243962006211,0.0,0.0
Signature.11,0.0408714004929,0.0,0.0
Signature.12,0.367680667636,0.0,0.128879935062
Signature.13,0.0,0.0,0.0468382050155
Signature.14,0.016351020906,0.0,0.108208368376
Signature.15,0.021894268756,0.083566858269,0.0
Signature.16,0.0,0.0890663326725,0.296841020301
Signature.17,0.0328307632085,0.0434327229499,0.0
Signature.18,0.0658873671079,0.0,0.0
Signature.19,0.0,0.0837506629944,0.0406300248587
Signature.20,0.0603520489636,0.20306126001,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0195729697013,0.0,0.0
Signature.24,0.0132061524084,0.0,0.0285592544787
Signature.25,0.0,0.0278349486034,0.0
Signature.26,0.0284923362447,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.048877608915,0.0,0.0
Signature.29,0.0,0.0,0.0214615801393
Signature.30,0.0535649638613,0.242319538532,0.0465829664716
