,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0197869995881
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0762909235419
Signature.6,0.0
Signature.7,0.0905492069729
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0200921002098
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0121023927492
Signature.14,0.225515771995
Signature.15,0.038683826733
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0194343314272
Signature.20,0.0721658744827
Signature.21,0.037248132004
Signature.22,0.0340750041234
Signature.23,0.0
Signature.24,0.0451276593902
Signature.25,0.0
Signature.26,0.0
Signature.27,0.270809243223
Signature.28,0.0
Signature.29,0.038118533559
Signature.30,0.0
