,11,10:1:3:2:5:7:6:8,4,9
Signature.1,0.0,0.021978112954,0.0,0.0168891617043
Signature.2,0.0,0.020327302746,0.0,0.100584809446
Signature.3,0.0,0.0,0.0,0.0318873079745
Signature.4,0.0626513111141,0.0,0.0,0.0176836347593
Signature.5,0.0,0.0,0.0,0.0115117351319
Signature.6,0.0,0.0232815254268,0.0,0.0
Signature.7,0.0575773020185,0.261667897828,0.375065408235,0.0723825766585
Signature.8,0.0343855279285,0.0,0.0,0.0
Signature.9,0.0164333351683,0.052821008961,0.0,0.353364494672
Signature.10,0.0,0.0,0.0,0.0681412880068
Signature.11,0.0997655927916,0.0,0.0,0.0
Signature.12,0.0161291213607,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0262011088571,0.0
Signature.14,0.0,0.0696455536387,0.0125747546687,0.0
Signature.15,0.0156716556512,0.0,0.162052054176,0.0107862723213
Signature.16,0.0325676094769,0.0,0.0790230370599,0.0143931745857
Signature.17,0.0,0.0492119710839,0.0,0.0
Signature.18,0.011535804798,0.113246237359,0.0120731087256,0.0
Signature.19,0.0,0.0,0.0,0.0
Signature.20,0.0191610315831,0.181073461157,0.0,0.0318702027111
Signature.21,0.0154079041366,0.0,0.0806549056318,0.0
Signature.22,0.272355165008,0.0,0.0226536167199,0.0
Signature.23,0.0941884193338,0.0,0.0136984742519,0.0
Signature.24,0.0,0.0,0.0544556254173,0.118543202039
Signature.25,0.0,0.160610953731,0.0,0.0
Signature.26,0.0631777677295,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0278499196194,0.0
Signature.28,0.0,0.0247078476302,0.133697986637,0.0759117362799
Signature.29,0.0430817070411,0.0,0.0,0.0
Signature.30,0.14591074486,0.0214281274842,0.0,0.0760504037094
