,11,10:13:12:1:3:2:5:4:7:6:8,9
Signature.1,0.220973376375,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0731792530644,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.138716166219,0.0441017685568,0.0
Signature.6,0.0,0.0772978944956,0.0
Signature.7,0.0,0.0224251393194,0.0
Signature.8,0.0,0.0,0.0955500488405
Signature.9,0.0901035542939,0.0110318279051,0.034841820759
Signature.10,0.0318949214596,0.0,0.0
Signature.11,0.0,0.0608740275576,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0461619530302,0.03711915324
Signature.14,0.0,0.0,0.0603007900626
Signature.15,0.0,0.0,0.0744386146368
Signature.16,0.261769543243,0.451258963692,0.0
Signature.17,0.0,0.0,0.104153245746
Signature.18,0.0319711864283,0.0359129971753,0.0
Signature.19,0.0281635759085,0.0145184063164,0.0161823636313
Signature.20,0.10239310752,0.0,0.425241633974
Signature.21,0.0,0.0409804721866,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0298391917471,0.0,0.0
Signature.24,0.0,0.0150069602618,0.0
Signature.25,0.0,0.0718612805319,0.0
Signature.26,0.0,0.0,0.0371198838257
Signature.27,0.0,0.0,0.0507987503389
Signature.28,0.012693706519,0.0,0.0283838003247
Signature.29,0.0215475568864,0.0353890559072,0.0
Signature.30,0.0299341133998,0.0,0.0358698946206
