,11:1:2:5:6:9:8,10,3:4,7
Signature.1,0.0141839177671,0.0,0.0945309562872,0.219692293393
Signature.2,0.0,0.425220286246,0.0,0.0
Signature.3,0.0,0.0,0.0451258550634,0.027608838802
Signature.4,0.155790270534,0.0288428028201,0.186342570308,0.116512357639
Signature.5,0.0188371809441,0.0390296402168,0.0,0.0
Signature.6,0.0431913577869,0.0,0.0,0.0201090058901
Signature.7,0.126780449076,0.0,0.0317934233194,0.0
Signature.8,0.0483299695037,0.0160275963061,0.017041967268,0.0
Signature.9,0.0,0.0,0.0492300325939,0.112761851112
Signature.10,0.0158815919595,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.23396985914,0.0,0.0,0.0333783839977
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.016533336836
Signature.15,0.0,0.159140134224,0.0576204220105,0.0
Signature.16,0.0547165087157,0.0,0.0,0.0
Signature.17,0.0366874318801,0.0,0.0111458299448,0.0216150862368
Signature.18,0.0,0.0,0.231346089427,0.0570618680654
Signature.19,0.0,0.0340303244134,0.0467232328764,0.0
Signature.20,0.0,0.0,0.111069821151,0.0
Signature.21,0.0,0.0,0.0,0.0868242530611
Signature.22,0.0,0.0,0.0307161987312,0.0
Signature.23,0.121455866019,0.0,0.0,0.0358903892294
Signature.24,0.0399057049454,0.0585022890483,0.0,0.170565047384
Signature.25,0.0,0.0584874922886,0.0,0.0179170873832
Signature.26,0.0428497927628,0.0,0.0271371766545,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.047420098966,0.168706715798,0.0601764243639,0.0
Signature.29,0.0,0.012012718639,0.0,0.0481668840389
Signature.30,0.0,0.0,0.0,0.01536331693
