,11:10:1:3:2:5:4:9:8,7,6
Signature.1,0.0,0.0,0.0187309913515
Signature.2,0.0,0.0,0.0
Signature.3,0.0821638263283,0.0,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0129618109239,0.0
Signature.6,0.0439156730783,0.080426805396,0.145408708898
Signature.7,0.0971626201619,0.0,0.025631388938
Signature.8,0.0851440017998,0.0116456372103,0.0
Signature.9,0.0622872905022,0.0,0.0
Signature.10,0.0339685345998,0.382789472945,0.0
Signature.11,0.127838367085,0.0137043077487,0.0
Signature.12,0.251414068175,0.0,0.147776816122
Signature.13,0.0,0.16480539007,0.0
Signature.14,0.0250860656019,0.0143483946804,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0163509399387,0.150825932355,0.0138797181659
Signature.17,0.0656729760858,0.0106225769431,0.0779580025384
Signature.18,0.0,0.0481330059967,0.0
Signature.19,0.0,0.0,0.0
Signature.20,0.0200571995803,0.0,0.0
Signature.21,0.027487302856,0.0,0.0476559631423
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0232827076995,0.158606698429
Signature.24,0.0,0.0,0.232013053662
Signature.25,0.0614511342065,0.0,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0600977248145
Signature.30,0.0,0.0864539580319,0.0722409339386
