,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.045904321672
Signature.3,0.0
Signature.4,0.0186320902736
Signature.5,0.0628841553508
Signature.6,0.0804102972586
Signature.7,0.0
Signature.8,0.0128675704976
Signature.9,0.0188344220279
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0591387970626
Signature.14,0.400681930628
Signature.15,0.0277013917626
Signature.16,0.0676252611509
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0633027645313
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.142016997784
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
