,11:9,10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0,0.0529785242659
Signature.2,0.0430621069694,0.0,0.0
Signature.3,0.0,0.0,0.182366345548
Signature.4,0.0,0.0,0.0856326980974
Signature.5,0.0697645806573,0.0,0.0294309972028
Signature.6,0.0145599396343,0.113659072112,0.0
Signature.7,0.0493757339495,0.024230387745,0.0
Signature.8,0.0145665101343,0.0,0.0
Signature.9,0.0,0.0372188658014,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0149145927076,0.0,0.0
Signature.12,0.0,0.0,0.0142597346491
Signature.13,0.0,0.0919632197341,0.158422406416
Signature.14,0.0133985142006,0.0,0.0
Signature.15,0.192153359663,0.0306268960393,0.082717844493
Signature.16,0.0150200045356,0.0,0.0510868524044
Signature.17,0.0,0.0110316805457,0.0413674712729
Signature.18,0.0,0.356863252551,0.0
Signature.19,0.0,0.115259006493,0.0
Signature.20,0.0,0.046295792758,0.0
Signature.21,0.0,0.0446041604683,0.0
Signature.22,0.0,0.0157087543111,0.0
Signature.23,0.0,0.0387225198992,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0618355719847,0.0221246280031
Signature.26,0.0,0.0119808195574,0.162979719699
Signature.27,0.340540398393,0.0,0.0752111168684
Signature.28,0.0556921662249,0.0,0.0414216610793
Signature.29,0.0,0.0,0.0
Signature.30,0.17695209293,0.0,0.0
