,11:10:13:12:1:3:2:4:7:6:9,5,8
Signature.1,0.0,0.129907798072,0.057441959121
Signature.2,0.0,0.0,0.0728664383498
Signature.3,0.0500759759026,0.0299098510383,0.147262421732
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0503707373487,0.0
Signature.6,0.0,0.0319296655357,0.0
Signature.7,0.0,0.0,0.0159305591655
Signature.8,0.105272304994,0.0370295190503,0.051565818173
Signature.9,0.0,0.0900873430601,0.077189443397
Signature.10,0.0102314658643,0.0,0.0232032133205
Signature.11,0.0,0.0,0.0
Signature.12,0.071823321047,0.0,0.0
Signature.13,0.0,0.102700725557,0.0
Signature.14,0.287987701028,0.0,0.0
Signature.15,0.0,0.0,0.0160868917244
Signature.16,0.0,0.0,0.18851620693
Signature.17,0.014971092732,0.0,0.0
Signature.18,0.0,0.115918056082,0.0
Signature.19,0.0816023787162,0.0504098912887,0.0
Signature.20,0.121696279984,0.0,0.0126646526339
Signature.21,0.0227572923159,0.0205837132891,0.0132134916552
Signature.22,0.0,0.0195876973323,0.0
Signature.23,0.0120280334349,0.0406041344186,0.10657047738
Signature.24,0.0,0.0,0.0
Signature.25,0.011385022574,0.0,0.0138016690861
Signature.26,0.107344451495,0.0,0.0
Signature.27,0.022581172892,0.173428879354,0.0
Signature.28,0.0662612139217,0.107531988574,0.0843483728474
Signature.29,0.0,0.0,0.119338384485
Signature.30,0.0139822930975,0.0,0.0
