,11:10:3:4:9:8,1,2,5:7:6
Signature.1,0.0,0.278399270673,0.0,0.0
Signature.2,0.0743932115158,0.0,0.0241096949808,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0695613509717,0.287455533507,0.13914486774
Signature.5,0.0,0.0,0.0165768603716,0.0215883384631
Signature.6,0.0,0.0,0.0,0.0204374673366
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.126760602578,0.0,0.0,0.0
Signature.9,0.0362223984735,0.0,0.0,0.0553002559176
Signature.10,0.0,0.0173670305945,0.0,0.109253029592
Signature.11,0.0,0.0,0.0398586907828,0.0
Signature.12,0.0,0.012206113728,0.160474681589,0.15985608636
Signature.13,0.0128460707049,0.0,0.163974779554,0.23691527756
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.041216441186,0.0,0.104078422779,0.0
Signature.16,0.0,0.0,0.0103836279445,0.0
Signature.17,0.0917224574666,0.0241482646274,0.0,0.138511633075
Signature.18,0.0,0.0,0.0,0.0219833473637
Signature.19,0.0,0.0430255704843,0.0,0.0
Signature.20,0.0105640266049,0.0227640702561,0.0,0.0366036032956
Signature.21,0.0705842531997,0.0839198054915,0.0,0.0
Signature.22,0.0,0.0635266170507,0.0281401984919,0.0
Signature.23,0.0,0.0,0.0,0.0315676938534
Signature.24,0.0,0.0594965694194,0.0,0.0
Signature.25,0.0302160558896,0.0,0.027646453804,0.0288383994431
Signature.26,0.0467593225677,0.0825497588974,0.0,0.0
Signature.27,0.0,0.0363390982376,0.0,0.0
Signature.28,0.0,0.195109401646,0.0106058071718,0.0
Signature.29,0.0414017617113,0.0,0.126695249024,0.0
Signature.30,0.417313398102,0.011587077922,0.0,0.0
