,11:10:3:5:4:7:6:9:8,1:13:2,12
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0782794930072,0.0
Signature.3,0.0256585959696,0.0,0.020654454313
Signature.4,0.0355691578253,0.0,0.123926895252
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0139252013525,0.0
Signature.8,0.0514836349522,0.0,0.0
Signature.9,0.0931529660788,0.266409836541,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0475209222256,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0111902434906,0.0,0.016415052696
Signature.14,0.225024063182,0.0230561557925,0.147869513304
Signature.15,0.0,0.0,0.0
Signature.16,0.0609052768015,0.0,0.0228369826007
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0184080856988,0.0186281715603
Signature.19,0.0,0.0,0.0
Signature.20,0.0330290750445,0.0124469010312,0.0
Signature.21,0.0292329517952,0.0,0.0
Signature.22,0.135306040236,0.222650538108,0.0
Signature.23,0.0,0.0467970946435,0.231026595661
Signature.24,0.0692337082131,0.0899554827188,0.0
Signature.25,0.0276256660014,0.0,0.162498188064
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0616647120321,0.0775557161715
Signature.28,0.0,0.0,0.0
Signature.29,0.0233310946789,0.0391999888842,0.178588430377
Signature.30,0.179257525731,0.0796855879645,0.0
