,11,10:1:2:5:4:7:6:8,3,9
Signature.1,0.037832067651,0.168646280376,0.0,0.0860273036302
Signature.2,0.0352311750417,0.0111165504726,0.0,0.0948217411417
Signature.3,0.0,0.0,0.0,0.135665229077
Signature.4,0.0114578934282,0.0146286815771,0.0,0.0
Signature.5,0.0,0.0970750579992,0.0168388093684,0.0563745804651
Signature.6,0.0,0.155019454926,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0208807353426,0.0519738718311,0.0
Signature.9,0.0,0.0839497503762,0.0,0.0
Signature.10,0.175000120021,0.0,0.0,0.0
Signature.11,0.033761390806,0.0136045067482,0.0,0.0
Signature.12,0.0708291209964,0.0,0.120021127952,0.0
Signature.13,0.0,0.0210023199951,0.0,0.0606120345718
Signature.14,0.0,0.0331779590218,0.438715302805,0.0407975746205
Signature.15,0.274378295448,0.112981723311,0.0,0.0
Signature.16,0.0155036594292,0.0,0.0117317485548,0.132977786388
Signature.17,0.0165341724609,0.0,0.0,0.172740442788
Signature.18,0.0433035952532,0.0,0.0,0.0
Signature.19,0.0269898677666,0.0,0.0364967493817,0.0199804983654
Signature.20,0.0302534285908,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0201636761555,0.0107655869024
Signature.22,0.0,0.0,0.0,0.027619203003
Signature.23,0.043135488759,0.0297894822889,0.0,0.128254587157
Signature.24,0.0,0.0298902929141,0.0160419341801,0.0
Signature.25,0.0,0.012452163434,0.0174091267557,0.0333634318891
Signature.26,0.0,0.0102584485557,0.0229927765955,0.0
Signature.27,0.16235591614,0.0,0.0912942657099,0.0
Signature.28,0.0,0.0,0.0678868366464,0.0
Signature.29,0.0,0.143174809519,0.0884337740643,0.0
Signature.30,0.0234338082071,0.0423517831428,0.0,0.0
