,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0850244523494
Signature.2,0.0714116586563
Signature.3,0.0
Signature.4,0.0439456278404
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0531379229369
Signature.9,0.0530350671876
Signature.10,0.0904660622226
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0182189356319
Signature.14,0.0241457387493
Signature.15,0.0
Signature.16,0.0864393633221
Signature.17,0.0194811232572
Signature.18,0.277573555111
Signature.19,0.0
Signature.20,0.0113806607678
Signature.21,0.076141088366
Signature.22,0.0352390080831
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0543597355179
Signature.30,0.0
