,11:13:12:1:3:2:5:4:7:6,10:8,9
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.241063455032,0.0918506425484
Signature.3,0.0483563914466,0.0,0.0821065669421
Signature.4,0.027282025614,0.083533700629,0.0
Signature.5,0.0,0.0577165028854,0.0
Signature.6,0.0,0.0,0.0293892167282
Signature.7,0.143484671625,0.0360001353466,0.0
Signature.8,0.11998085896,0.0,0.0
Signature.9,0.0170227678812,0.0,0.0
Signature.10,0.012166511877,0.0,0.0717923590299
Signature.11,0.0154268781702,0.0,0.0
Signature.12,0.0,0.0,0.0140185622235
Signature.13,0.0563574254863,0.0397328260179,0.0
Signature.14,0.0374566823152,0.0,0.0644619343676
Signature.15,0.0,0.0804377275698,0.0
Signature.16,0.0,0.0,0.0564183229304
Signature.17,0.166128239614,0.0505098655657,0.141010870181
Signature.18,0.0,0.0112160999087,0.0401748175422
Signature.19,0.0,0.0266353947831,0.0665641600339
Signature.20,0.0,0.125537242347,0.0
Signature.21,0.0262692085972,0.0,0.0
Signature.22,0.0660105830788,0.0290796022522,0.0212950690457
Signature.23,0.0154084713552,0.0,0.272043744282
Signature.24,0.0,0.0,0.0288573602164
Signature.25,0.0735466198704,0.0,0.0
Signature.26,0.0,0.0,0.0
Signature.27,0.0151526382944,0.0425881342945,0.0
Signature.28,0.0234367145661,0.160793817622,0.0
Signature.29,0.0646032204693,0.0,0.0
Signature.30,0.0719100907782,0.0151554957461,0.0200163739286
