,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.277226718301
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0532992152335
Signature.8,0.0
Signature.9,0.132891626522
Signature.10,0.0291285250398
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0157882573139
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0376032726138
Signature.21,0.0
Signature.22,0.0725598619179
Signature.23,0.0169327296255
Signature.24,0.249788096658
Signature.25,0.012097252094
Signature.26,0.0348768366067
Signature.27,0.0382336408192
Signature.28,0.0
Signature.29,0.0295739672546
Signature.30,0.0
