,11:1:5:7:6:9:8,10,3:2,4
Signature.1,0.0,0.0202128901703,0.0149774830241,0.0
Signature.2,0.0651566941672,0.023928917809,0.0124322299367,0.0
Signature.3,0.0760523089644,0.0,0.0,0.0
Signature.4,0.0423896245124,0.0,0.0101322125291,0.0886123646375
Signature.5,0.0,0.0,0.0468121086758,0.0
Signature.6,0.0,0.0346796477484,0.0,0.0
Signature.7,0.0,0.0447254849426,0.0,0.0339024267103
Signature.8,0.0,0.0461927989202,0.269839200553,0.0233735758525
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0,0.260595431815,0.139410932275,0.0599113140117
Signature.11,0.0295980605991,0.019801252557,0.0428720720007,0.0106116937913
Signature.12,0.100776985515,0.0,0.0161755581097,0.0109681724056
Signature.13,0.0,0.0,0.0,0.0737999042888
Signature.14,0.0110963844901,0.0188612689965,0.0138568039369,0.0
Signature.15,0.0281810855209,0.0,0.0,0.0146389493589
Signature.16,0.125640014228,0.0117396946715,0.0240191480547,0.0185108740138
Signature.17,0.108925350858,0.0156311539259,0.0,0.0
Signature.18,0.0,0.0415629757771,0.0,0.0
Signature.19,0.0,0.0,0.120730269389,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0772816576523,0.0137507719381,0.014208545134,0.0
Signature.22,0.152166860071,0.0,0.0178862875855,0.193809790057
Signature.23,0.0,0.0,0.0294359760295,0.270604105719
Signature.24,0.0,0.0,0.0128082421574,0.0
Signature.25,0.0566191981523,0.0,0.0,0.126075690309
Signature.26,0.114296822792,0.0,0.0,0.0751811388443
Signature.27,0.0,0.029711021584,0.15085302282,0.0
Signature.28,0.0,0.317555731547,0.0114262789135,0.0
Signature.29,0.0,0.038472474548,0.0,0.0
Signature.30,0.0118189524762,0.0625784830491,0.0521236288755,0.0
