,11,10:6:5:7:8,1:3:2:4,9
Signature.1,0.193226645305,0.0189061140602,0.0232649862491,0.0535047750752
Signature.2,0.330836109376,0.0,0.0,0.140183737769
Signature.3,0.0,0.152525211705,0.0396128116861,0.0
Signature.4,0.0,0.0,0.0,0.0329927436604
Signature.5,0.0348458294626,0.0,0.0,0.0
Signature.6,0.0210720234661,0.0272177456685,0.0445956682206,0.0
Signature.7,0.0,0.0,0.0,0.0373015720307
Signature.8,0.0,0.0,0.0809467722948,0.010447422524
Signature.9,0.0,0.0,0.0,0.0242992807866
Signature.10,0.0,0.0,0.0,0.0947069622299
Signature.11,0.0750116830302,0.0,0.063852675195,0.0
Signature.12,0.0228792335417,0.0,0.168385090175,0.18407962803
Signature.13,0.024212436778,0.0801394450447,0.0346965061657,0.119292561816
Signature.14,0.0,0.0260050827298,0.0,0.0
Signature.15,0.0,0.0,0.0,0.0151653700527
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0263713955378,0.0121246790554,0.0,0.101117371827
Signature.18,0.0,0.0,0.0,0.0164649100899
Signature.19,0.0,0.0153970510035,0.0446971155533,0.0
Signature.20,0.0696810174459,0.0,0.0318802975221,0.029248924298
Signature.21,0.0471885505959,0.198465519747,0.0,0.0
Signature.22,0.0,0.0883756293789,0.0,0.0
Signature.23,0.129485250767,0.022418931161,0.090747173273,0.0104256348304
Signature.24,0.0122984286092,0.0,0.0,0.0112928525896
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.0547539343831,0.273203028932,0.0
Signature.27,0.0,0.0227237913194,0.0,0.0581629287851
Signature.28,0.0128913960845,0.144785817556,0.0124145094159,0.0613133236053
Signature.29,0.0,0.0933463280457,0.0655251548413,0.0
Signature.30,0.0,0.0428147191413,0.0261782104768,0.0
