,11:10:9,1:3:2:5:4,7:6,8
Signature.1,0.167888144261,0.0549735209524,0.0,0.0
Signature.2,0.0198073479388,0.0483904436293,0.0290645274496,0.0
Signature.3,0.0149783536685,0.0,0.0,0.0
Signature.4,0.0846712204728,0.0,0.0,0.0
Signature.5,0.0161071438829,0.0,0.451221882931,0.0
Signature.6,0.0132170459264,0.103746909046,0.243588864712,0.0296411997414
Signature.7,0.0128131177669,0.0315204071382,0.0,0.0
Signature.8,0.0685055774131,0.0561999812765,0.035285723836,0.0
Signature.9,0.101595820358,0.0,0.0,0.0123894100564
Signature.10,0.0,0.0116722793148,0.0,0.0496254233001
Signature.11,0.0997422753873,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0507614142663,0.180041721956
Signature.13,0.0,0.0165980732575,0.0,0.013114947665
Signature.14,0.0159037831849,0.0,0.0204084573848,0.0191704722494
Signature.15,0.0,0.17976827725,0.0,0.0706717621159
Signature.16,0.0,0.137845719518,0.0,0.0
Signature.17,0.0362422771449,0.0,0.0,0.0
Signature.18,0.0,0.0754836335722,0.019142938119,0.270155147311
Signature.19,0.0101926923813,0.139586702476,0.0,0.0291782844655
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.150291640249,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0615154990738,0.0379222057643,0.0588256281568,0.0
Signature.25,0.0219439285274,0.0,0.0,0.052621083191
Signature.26,0.0,0.106291846805,0.0324531195567,0.0473186334343
Signature.27,0.061087417628,0.0,0.0,0.118847605442
Signature.28,0.0131756441835,0.0,0.0211511069655,0.0
Signature.29,0.0303210705516,0.0,0.0380963366225,0.107224309071
Signature.30,0.0,0.0,0.0,0.0
