,11:13:12:1:3:2:4:7:6:8,9:10,5
Signature.1,0.0,0.0,0.0116430383621
Signature.2,0.072768370267,0.0233040131638,0.101662434226
Signature.3,0.121238565671,0.0,0.0952665064673
Signature.4,0.0,0.0614902655186,0.0103764334164
Signature.5,0.0,0.0,0.0
Signature.6,0.018607191467,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0151549294029,0.0
Signature.9,0.0,0.0,0.0376345770795
Signature.10,0.209254758006,0.0,0.0
Signature.11,0.0,0.0480916636284,0.0
Signature.12,0.0678096131546,0.0246516653634,0.0
Signature.13,0.0113248630169,0.0,0.0473440314153
Signature.14,0.0,0.0451274644003,0.0
Signature.15,0.0135761759167,0.278225318945,0.0
Signature.16,0.140669560789,0.0,0.0
Signature.17,0.0,0.0109018089339,0.0843147507741
Signature.18,0.0824643323106,0.0112538093064,0.126103702762
Signature.19,0.0,0.040252250038,0.0
Signature.20,0.0734019380564,0.0,0.0
Signature.21,0.0,0.0656671420742,0.0296726326059
Signature.22,0.0,0.0,0.0799237437449
Signature.23,0.0236226126712,0.0354421925035,0.0
Signature.24,0.0,0.0,0.137343946129
Signature.25,0.146878354211,0.119765479186,0.0508887145392
Signature.26,0.0,0.0136714304101,0.0
Signature.27,0.0183836644617,0.156604713021,0.156113027298
Signature.28,0.0,0.0503958541045,0.0
Signature.29,0.0,0.0,0.0317124611805
Signature.30,0.0,0.0,0.0
