,11,10,1:3:2:5:4:7:6:9:8
Signature.1,0.0445286656773,0.0,0.0
Signature.2,0.0,0.0,0.0770527696631
Signature.3,0.026459763623,0.0,0.0174356322517
Signature.4,0.029243127498,0.0,0.282943467732
Signature.5,0.0179147473399,0.0,0.0
Signature.6,0.0324499585595,0.0,0.0
Signature.7,0.0575511367807,0.0,0.0767885639506
Signature.8,0.0,0.031815433356,0.0104229418793
Signature.9,0.0441817510086,0.0,0.0298072256648
Signature.10,0.0,0.156885832043,0.0
Signature.11,0.0,0.0303998333558,0.0155856481775
Signature.12,0.0325171023426,0.0132742277637,0.0150042669553
Signature.13,0.0,0.0,0.121528638475
Signature.14,0.0555028202371,0.326547065557,0.0
Signature.15,0.0,0.0,0.0377091881008
Signature.16,0.0,0.0943675085462,0.0723258147482
Signature.17,0.0,0.0267372931058,0.0266306330471
Signature.18,0.0,0.1396247099,0.0
Signature.19,0.0,0.0102920749983,0.0
Signature.20,0.0645757937325,0.0,0.0282667544561
Signature.21,0.0,0.0105079070332,0.0
Signature.22,0.0,0.0772245399336,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0171112445593,0.0
Signature.25,0.21131051592,0.0398961091198,0.0
Signature.26,0.182497950297,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.105749726423,0.0253162207285,0.0
Signature.29,0.0,0.0,0.0148493329247
Signature.30,0.0955169405606,0.0,0.173649121974
