,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0123045888898
Signature.2,0.0
Signature.3,0.187140994379
Signature.4,0.0
Signature.5,0.0153054513353
Signature.6,0.0586243294634
Signature.7,0.11121745189
Signature.8,0.0255819544181
Signature.9,0.018767452543
Signature.10,0.0
Signature.11,0.0
Signature.12,0.171671748628
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.052352059892
Signature.19,0.0146012915283
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.165952952094
Signature.26,0.0228032393733
Signature.27,0.0
Signature.28,0.0498374921298
Signature.29,0.0
Signature.30,0.0938389934361
