,11:10:1:3:2:5:6:8,4,7,9
Signature.1,0.0560964952598,0.0927896322505,0.0,0.0
Signature.2,0.0466123930351,0.0400152306294,0.0,0.0
Signature.3,0.13360472484,0.0,0.0,0.0
Signature.4,0.0,0.0938142294598,0.234127482742,0.0793123799689
Signature.5,0.0416706914492,0.0389149939753,0.043924522202,0.0
Signature.6,0.0275695833672,0.0,0.0,0.0
Signature.7,0.0,0.0496645304194,0.0,0.0
Signature.8,0.0576614247601,0.0,0.0986428624439,0.0
Signature.9,0.072087700043,0.0,0.0,0.0106507842201
Signature.10,0.0,0.091529453557,0.0338851364807,0.0455784532444
Signature.11,0.0192975312097,0.0240627644062,0.0262500119955,0.0
Signature.12,0.0,0.0,0.0276344124238,0.25853917422
Signature.13,0.0137961288137,0.0374406569704,0.0929364851717,0.0456666390425
Signature.14,0.0,0.0381812184456,0.0106188226273,0.0229530888718
Signature.15,0.0,0.0,0.0,0.0643194944861
Signature.16,0.0,0.112683514422,0.0,0.0
Signature.17,0.114141215327,0.0,0.0167129920041,0.0
Signature.18,0.0,0.0,0.0866077649527,0.0
Signature.19,0.012893072856,0.195337420797,0.0,0.0
Signature.20,0.0,0.0,0.0579290307766,0.0
Signature.21,0.0732074552482,0.113749946317,0.0,0.161163512723
Signature.22,0.0,0.0,0.0,0.0652997994239
Signature.23,0.0,0.0104037009696,0.0,0.0
Signature.24,0.107284992533,0.0,0.021915386911,0.0
Signature.25,0.0,0.061412707381,0.0729870402713,0.0375645505117
Signature.26,0.0,0.0,0.0148195372023,0.0210292058249
Signature.27,0.0392107612623,0.0,0.0980066828068,0.0142215163372
Signature.28,0.143962622399,0.0,0.0,0.0817558317571
Signature.29,0.0409032075966,0.0,0.0630018289883,0.0
Signature.30,0.0,0.0,0.0,0.0919455693686
