,11,10:1:5:4:7:6:9:8,3:2
Signature.1,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.146029954674,0.0,0.0995874685064
Signature.4,0.098243954595,0.0,0.0
Signature.5,0.0,0.0542827014227,0.0115210618437
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0114233517708,0.0
Signature.8,0.0160893166531,0.48541958441,0.0
Signature.9,0.380989395478,0.0,0.0
Signature.10,0.0183300026263,0.0,0.0
Signature.11,0.0,0.0146708568125,0.0
Signature.12,0.0,0.113079372586,0.0
Signature.13,0.087880376464,0.0,0.0
Signature.14,0.0166073834923,0.0,0.0723976192084
Signature.15,0.0480209035292,0.0,0.0324618725887
Signature.16,0.0178456223874,0.0,0.0881047936257
Signature.17,0.0,0.0,0.109719033919
Signature.18,0.0,0.0818090639825,0.0
Signature.19,0.0179963466755,0.0190524207886,0.0
Signature.20,0.0409621739404,0.0486393798355,0.0166976564503
Signature.21,0.0132467147444,0.0,0.188268998433
Signature.22,0.0679108435762,0.0,0.0179308319559
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.134076664266
Signature.25,0.0,0.0308364158949,0.0
Signature.26,0.0,0.0117802481924,0.139455568218
Signature.27,0.0,0.0181572416963,0.0
Signature.28,0.029847011165,0.0266483547419,0.0897784309848
Signature.29,0.0,0.025580556866,0.0
Signature.30,0.0,0.0586204509994,0.0
