,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.147384224875
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0418178288747
Signature.5,0.0402186914049
Signature.6,0.0
Signature.7,0.0146400858441
Signature.8,0.0162803902291
Signature.9,0.183281545731
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.031908234285
Signature.14,0.188298566515
Signature.15,0.019989313017
Signature.16,0.0167056602647
Signature.17,0.0150269698191
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0153901479167
Signature.21,0.0975333435795
Signature.22,0.0
Signature.23,0.0557078446629
Signature.24,0.0189458397714
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0968713132102
