,11,10:13:12:1:2:5:4:7:6:9:8,3
Signature.1,0.0,0.0780036536549,0.0
Signature.2,0.174717909101,0.0237302197355,0.0233827735266
Signature.3,0.0228413416977,0.0460032998035,0.0
Signature.4,0.148076728135,0.0,0.0
Signature.5,0.0231030032105,0.0,0.0
Signature.6,0.0,0.0742799790085,0.0764614410322
Signature.7,0.0,0.147193776351,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0121487930192,0.0
Signature.11,0.0116492967006,0.260288141522,0.307451536229
Signature.12,0.0,0.0,0.306312807084
Signature.13,0.0,0.0292376848422,0.0
Signature.14,0.0129864013311,0.0,0.0
Signature.15,0.0,0.0,0.0145578087937
Signature.16,0.0,0.012686466492,0.0
Signature.17,0.0365463553489,0.0190016595225,0.0
Signature.18,0.0,0.0359819112518,0.0
Signature.19,0.0130877167133,0.0,0.0970113696154
Signature.20,0.287279925431,0.0,0.0
Signature.21,0.0,0.0496990609795,0.143199184034
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0773776096395,0.0,0.0
Signature.25,0.0,0.0312320261764,0.0
Signature.26,0.0,0.0,0.0316230796846
Signature.27,0.192333712692,0.0,0.0
Signature.28,0.0,0.0716164267595,0.0
Signature.29,0.0,0.108896900882,0.0
Signature.30,0.0,0.0,0.0
