,11,9:10,13,12:1:3:2:5:4:7:6:8
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.122719619941,0.0,0.0
Signature.3,0.0,0.0,0.0109080843885,0.0
Signature.4,0.0,0.086996341312,0.0,0.0
Signature.5,0.0,0.0110349901611,0.0,0.0122879167281
Signature.6,0.154464882127,0.0495979334924,0.0584196626837,0.0353189932827
Signature.7,0.0,0.164461914221,0.0451037325134,0.047044229996
Signature.8,0.0,0.185527036286,0.0,0.015770849993
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0588739808966,0.0,0.0,0.162940258769
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0477355749457,0.0,0.0434098938471,0.0992419939554
Signature.14,0.0,0.0,0.0,0.275133386362
Signature.15,0.0,0.0,0.0719516739198,0.166882113156
Signature.16,0.0,0.0,0.161491577041,0.0
Signature.17,0.0,0.0127116934175,0.0,0.0
Signature.18,0.0499572369036,0.202816319411,0.0,0.0221327250315
Signature.19,0.233667551862,0.0,0.0,0.0
Signature.20,0.0,0.0203104288176,0.0422136616836,0.0
Signature.21,0.380481916127,0.0247553693046,0.0263637196242,0.0
Signature.22,0.0233840082431,0.0,0.0,0.0
Signature.23,0.0,0.0253557041802,0.333611173276,0.0
Signature.24,0.0,0.0,0.0,0.0121285013255
Signature.25,0.0321198661851,0.0,0.0,0.0
Signature.26,0.0,0.0190856724393,0.0,0.0364772847468
Signature.27,0.0,0.0246324145184,0.0,0.0
Signature.28,0.0193149827095,0.0,0.0963533333629,0.0
Signature.29,0.0,0.0198815631642,0.0698698244999,0.0
Signature.30,0.0,0.0301129993332,0.0403036631599,0.114641746654
