,11:1:3:5:4:7:6:8,9:10,2
Signature.1,0.0,0.0,0.0
Signature.2,0.0196758130705,0.0,0.0
Signature.3,0.0,0.12693959645,0.0
Signature.4,0.0,0.0,0.0988009404882
Signature.5,0.0371250591924,0.101039641249,0.224660457325
Signature.6,0.2842839079,0.209553245067,0.135531904441
Signature.7,0.0184261309933,0.0148523973273,0.0
Signature.8,0.0104384032145,0.118256767921,0.0
Signature.9,0.0114802453849,0.0,0.0681681704691
Signature.10,0.0,0.0568281411703,0.0
Signature.11,0.0,0.0,0.03443347502
Signature.12,0.0,0.0,0.0
Signature.13,0.0185696216881,0.0262903240635,0.0
Signature.14,0.0821200802545,0.0,0.0
Signature.15,0.0262132541634,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0406344656271
Signature.18,0.0,0.0550676676506,0.120401643507
Signature.19,0.0,0.0,0.0885687250246
Signature.20,0.0136858692247,0.121507182215,0.0
Signature.21,0.0,0.015808026042,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0651616985591,0.0137026094461
Signature.24,0.0,0.0,0.0
Signature.25,0.225477633294,0.0,0.0304664925045
Signature.26,0.0,0.0,0.0
Signature.27,0.0790672160492,0.0,0.0
Signature.28,0.159038629833,0.0752059189025,0.0
Signature.29,0.0,0.0134893933827,0.0
Signature.30,0.0143981357373,0.0,0.144631116147
