,11:8:9:10,1:3:2:7,5:6,4
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0960955263089,0.0,0.0
Signature.3,0.0213569737059,0.0,0.0859751835814,0.0
Signature.4,0.229223024089,0.0582011830658,0.102159355668,0.0122500029516
Signature.5,0.0,0.0437943424809,0.0173323326776,0.130340698096
Signature.6,0.059434627484,0.018016640259,0.0192715150922,0.0
Signature.7,0.0332955419473,0.0,0.0,0.0568891845612
Signature.8,0.0,0.211252168071,0.124447886705,0.0
Signature.9,0.0381156694239,0.0,0.0,0.0
Signature.10,0.0,0.0,0.15935960889,0.0205848884085
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0924204073339,0.0,0.0,0.0717461287018
Signature.14,0.0154076088593,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0639095745455,0.134972009225,0.0167854636618,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0372210406743,0.0,0.0380606156343,0.149904038466
Signature.19,0.0,0.0463768606858,0.0,0.107778984545
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0950839485756,0.0,0.0,0.0
Signature.22,0.183535230194,0.0,0.0,0.225788727433
Signature.23,0.0,0.0558501880133,0.0151325322018,0.0
Signature.24,0.0,0.0,0.0236904721858,0.0611251793776
Signature.25,0.112699637387,0.178469428601,0.0,0.0816001258907
Signature.26,0.0,0.0,0.0,0.0189297122217
Signature.27,0.0,0.079354462979,0.0,0.0449185014455
Signature.28,0.0,0.0776171903097,0.282926964009,0.0181438279009
Signature.29,0.0,0.0,0.114858069693,0.0
Signature.30,0.0182967157807,0.0,0.0,0.0
