,11:13:12:1:3:5:4:7:6:9:8,10,2
Signature.1,0.0453224380872,0.0128312609332,0.0
Signature.2,0.0486639657233,0.0,0.0
Signature.3,0.0,0.0349646350809,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0,0.14003384027
Signature.6,0.0,0.0,0.0525377566929
Signature.7,0.0,0.0,0.103298670753
Signature.8,0.0115881686215,0.0,0.0684232536341
Signature.9,0.0,0.0,0.0230894119952
Signature.10,0.0,0.112636134946,0.0509660985626
Signature.11,0.0336095597662,0.0,0.0
Signature.12,0.0,0.0466357867849,0.104672923466
Signature.13,0.0448506667082,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.203294935121,0.0413166394714
Signature.16,0.0,0.0,0.0849489742033
Signature.17,0.0,0.0,0.0
Signature.18,0.0123575375538,0.0,0.0
Signature.19,0.136591308149,0.0,0.0
Signature.20,0.0605094140164,0.148747877448,0.0
Signature.21,0.0,0.226714477543,0.0
Signature.22,0.0,0.0,0.0381764273788
Signature.23,0.0793435569772,0.0105202829749,0.0
Signature.24,0.0163429142885,0.0696598218072,0.0
Signature.25,0.0243035733998,0.0495680065725,0.0
Signature.26,0.0,0.0179502718606,0.147263150039
Signature.27,0.0,0.0,0.0
Signature.28,0.036009468869,0.0,0.0
Signature.29,0.171520705046,0.0664765089284,0.0576582921512
Signature.30,0.278986722794,0.0,0.0876145613822
