,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0155859244372
Signature.3,0.0
Signature.4,0.0845412949095
Signature.5,0.0103129977854
Signature.6,0.0479201838278
Signature.7,0.0112560067231
Signature.8,0.141730159847
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0358458536549
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.305359719127
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0213457695815
Signature.21,0.0180912335461
Signature.22,0.0
Signature.23,0.142212940127
Signature.24,0.0
Signature.25,0.0382944495548
Signature.26,0.0
Signature.27,0.0654779570215
Signature.28,0.0210918072473
Signature.29,0.0409337026095
Signature.30,0.0
