,11:13:12,10,1:3:2:5:4:7:6:8,9
Signature.1,0.160303529983,0.0,0.0675322681924,0.0
Signature.2,0.151409329298,0.0181377059681,0.0184341476245,0.0
Signature.3,0.118550288286,0.0,0.0,0.0413396444746
Signature.4,0.0,0.0,0.0107874776166,0.0
Signature.5,0.0,0.0405582701104,0.0102063636864,0.0632844436568
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.014322591709,0.0,0.041070591576,0.0
Signature.8,0.0201743275173,0.0109991149776,0.0174351890798,0.215833169268
Signature.9,0.0155927888672,0.0,0.0,0.0
Signature.10,0.0125681086733,0.0,0.183005377339,0.0330734647565
Signature.11,0.0336282131764,0.0376043195165,0.0,0.0609266765446
Signature.12,0.0554237984865,0.0115887156428,0.0,0.0280088111669
Signature.13,0.0,0.0,0.0,0.0284532095115
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.143219725477,0.014799764827,0.0993779324288,0.0
Signature.16,0.0655501870351,0.0,0.0238548025542,0.0
Signature.17,0.0,0.0716435602731,0.0,0.0504191049342
Signature.18,0.0,0.0120674111835,0.0,0.0
Signature.19,0.0,0.0,0.0,0.288049607137
Signature.20,0.0,0.0,0.104504187151,0.0
Signature.21,0.0,0.0,0.0844673502658,0.0
Signature.22,0.0,0.0239304755204,0.114955295113,0.0
Signature.23,0.0,0.0139919853694,0.0273009637394,0.0888820733091
Signature.24,0.0103732203163,0.0643301432243,0.0541219486891,0.0
Signature.25,0.132163430546,0.0119421776334,0.0,0.0
Signature.26,0.0,0.0415421206601,0.109904268549,0.0
Signature.27,0.0289942536448,0.0344641832426,0.0,0.0219537705265
Signature.28,0.0377262069842,0.578544814753,0.0,0.01351299062
Signature.29,0.0,0.0,0.0330418363949,0.0289677660303
Signature.30,0.0,0.0138552370976,0.0,0.037295268064
