,11:10:13:12:1:3:2:5:4:7:6:9:8
Signature.1,0.0511605491537
Signature.2,0.112679267267
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0129194348285
Signature.10,0.0
Signature.11,0.0
Signature.12,0.212402142666
Signature.13,0.0125166899217
Signature.14,0.0
Signature.15,0.0336245297664
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0297831938805
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0208567018226
Signature.22,0.100307642201
Signature.23,0.0180752289697
Signature.24,0.0
Signature.25,0.0
Signature.26,0.081342273783
Signature.27,0.0
Signature.28,0.116338268235
Signature.29,0.186512515857
Signature.30,0.0114815616477
