,11:1:3:2:5:4:6,9:10:7:8
Signature.1,0.0,0.0
Signature.2,0.18525763047,0.1195570117
Signature.3,0.0,0.0299544963341
Signature.4,0.0,0.0
Signature.5,0.0,0.178933242278
Signature.6,0.0230357500423,0.170256194609
Signature.7,0.0,0.0
Signature.8,0.0259828289558,0.0
Signature.9,0.0127930139618,0.129042494039
Signature.10,0.0178442387582,0.0331808552749
Signature.11,0.0118868362439,0.0
Signature.12,0.0137097727236,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0113942772489
Signature.15,0.0400726856761,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.213168786576
Signature.20,0.0,0.019234819859
Signature.21,0.131764509338,0.0
Signature.22,0.0,0.0
Signature.23,0.021730345522,0.0122774616761
Signature.24,0.0,0.0
Signature.25,0.195901759684,0.0
Signature.26,0.091798294316,0.0105078210278
Signature.27,0.20327462204,0.0480573677843
Signature.28,0.0249477122695,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.024435171593
